,人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
372,879,芥川 竜之介,24453,蜜柑,旧字旧仮名,,高柳典子,岡山勝美,公開,2012-03-21,現代日本文學全集　第三十篇　芥川龍之介集,改造社,1928（昭和3）年1月9日,1928（昭和3）年1月9日　
373,879,芥川 竜之介,43017,蜜柑,新字新仮名,,蒋龍,noriko saito,公開,2005-02-08,蜘蛛の糸・杜子春,新潮文庫、新潮社,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷
390,879,芥川 竜之介,179,藪の中,新字新仮名,,野口英司、平山誠,もりみつじゅんじ,公開,1997-11-10,芥川龍之介全集4,ちくま文庫、筑摩書房,1996（平成8）年7月15日第8刷,1996（平成8）年7月15日第8刷
391,879,芥川 竜之介,24454,藪の中,旧字旧仮名,,高柳典子,岡山勝美,公開,2012-03-25,現代日本文學全集　第三〇篇　芥川龍之介集,改造社,1928（昭和3）年1月9日,1928（昭和3）年1月9日　
405,879,芥川 竜之介,128,羅生門,旧字旧仮名,,j.utiyama,野口英司、もりみつじゅんじ,公開,1999-06-09,新選　名著復刻全集　近代文学館　芥川龍之介著　羅生門　阿蘭陀書房版,ほるぷ出版,,
406,879,芥川 竜之介,127,羅生門,新字新仮名,,野口英司、平山誠,もりみつじゅんじ,公開,1997-10-29,芥川龍之介全集1,ちくま文庫、筑摩書房,1997（平成9）年4月15日第14刷,
865,50,泉 鏡花,57477,三尺角,新字新仮名,,日根敏晶,門田裕志,公開,2016-07-01,化鳥・三尺角　他六篇,岩波文庫、岩波書店,2015（平成27）年5月15日第2刷,2013（平成25）年11月15日第1刷
866,50,泉 鏡花,4739,三尺角,旧字旧仮名,,門田裕志,小林繁雄,公開,2003-11-23,鏡花全集　第四巻,岩波書店,1986（昭和61）年12月3日第3刷,1986（昭和61）年12月3日第3刷
892,50,泉 鏡花,43224,雪霊記事,新字新仮名,,門田裕志,土屋隆,公開,2005-11-23,泉鏡花集成7,ちくま文庫、筑摩書房,1995（平成7）年12月4日第1刷,2003（平成15）年5月15日第2刷
893,50,泉 鏡花,1184,雪霊記事,旧字旧仮名,,土屋隆,門田裕志,公開,2005-11-23,鏡花全集　卷二十一,岩波書店,1975（昭和50）年7月2日第2刷,1988（昭和63）年5月2日第3刷
894,50,泉 鏡花,43225,雪霊続記,新字新仮名,,門田裕志,土屋隆,公開,2005-11-24,泉鏡花集成7,ちくま文庫、筑摩書房,1995（平成7）年12月4日第1刷,2003（平成15）年5月15日第2刷
895,50,泉 鏡花,1185,雪霊続記,旧字旧仮名,,土屋隆,門田裕志,公開,2005-11-24,鏡花全集　卷二十一,岩波書店,1975（昭和50）年7月2日第2刷,1988（昭和63）年5月2日第3刷
947,50,泉 鏡花,4741,星あかり,旧字旧仮名,,門田裕志,鈴木厚司,公開,2003-06-02,鏡花全集　巻四,岩波書店,1986（昭和61）年12月3日第3刷,
948,50,泉 鏡花,1188,星あかり,新字新仮名,,土屋隆,門田裕志,公開,2006-04-04,書物の王国11　分身,国書刊行会,1999（平成11）年1月22日初版第1刷,1999（平成11）年1月22日初版第1刷
1088,58,伊藤 左千夫,1036,水害雑録,新字新仮名,,大野晋,松永正敏,公開,2000-10-23,野菊の墓,角川文庫、角川書店,,
1089,58,伊藤 左千夫,4396,水害雑録,旧字旧仮名,,米田進,松永正敏,公開,2002-04-01,左千夫全集　第三巻,岩波書店,,
1097,58,伊藤 左千夫,625,奈々子,新字新仮名,,大野晋,大西敦子,公開,2000-06-02,野菊の墓,集英社文庫、集英社,1981（昭和56）年6月15日第4刷,
1098,58,伊藤 左千夫,4397,奈々子,旧字旧仮名,,米田進,松永正敏,公開,2002-04-01,左千夫全集　第三卷,岩波書店,,
1110,58,伊藤 左千夫,51306,八幡の森,旧字旧仮名,,Ｈ．ＹＡＭ,高瀬竜一,公開,2013-10-05,左千夫全集　第二卷,岩波書店,1976（昭和51）年11月25日,1976（昭和51）年11月25日
1111,58,伊藤 左千夫,57970,八幡の森,新字新仮名,,高瀬竜一,岡村和彦,公開,2019-04-03,左千夫全集　第二卷,岩波書店,1976（昭和51）年11月25日,1976（昭和51）年11月25日
2050,169,大杉 栄,50263,革命の研究,旧字旧仮名,大杉 栄,クロポトキン・プロジェクト,浜坂邦彦,公開,2014-08-07,革命の研究,コスモス書店,1946（昭和21）年4月20日,　
2051,169,大杉 栄,50507,革命の研究,新字新仮名,大杉 栄,クロポトキン・プロジェクト,岩澤秀紀,公開,2013-03-26,大杉栄・伊藤野枝選集第一巻　クロポトキン研究,黒色戦線社,1986（昭和61）年6月1日,1986（昭和61）年6月1日
2410,82,岡本 綺堂,1312,修禅寺物語,新字新仮名,,土屋隆,小林繁雄,公開,2006-05-30,日本の文学　77　名作集（一）,中央公論社,1970（昭和45）年7月5日初版,1970（昭和45）年7月5日初版
2411,82,岡本 綺堂,45457,修禅寺物語,旧字旧仮名,,土屋隆,川山隆,公開,2008-05-06,日本現代文學全集34　岡本綺堂・小山内薫・眞山青果集,講談社,1968（昭和43）年6月19日,1980（昭和55）年5月26日増補改訂版第1刷
2482,82,岡本 綺堂,1293,半七捕物帳 01 お文の魂,新字新仮名,,A.Morimine,原田頌子,公開,2001-04-13,時代推理小説　半七捕物帳（一）,光文社文庫、光文社,1997（平成9）年3月25日20刷,
2483,82,岡本 綺堂,1005,半七捕物帳 01 お文の魂,旧字旧仮名,,小山純一,浜野智,公開,1998-07-09,定本・半七捕物帳　第1巻,同光社,,
3300,91,尾崎 紅葉,50354,鬼桃太郎,新字新仮名,,田中哲郎,みきた,公開,2018-10-30,妖怪文藝〈巻之弐〉　響き交わす鬼,小学館文庫、小学館,2005（平成17）年10月1日初版第1刷,2005（平成17）年10月1日初版第1刷
3301,91,尾崎 紅葉,50355,鬼桃太郎,旧字旧仮名,,田中哲郎,みきた,公開,2019-01-10,名著複刻　日本児童文学館　第一集,ほるぷ出版,1976（昭和51）年5月,1980（昭和55）年3月
3512,933,折口 信夫,24380,死者の書,旧字旧仮名,,門田裕志,多羅尾伴内,公開,2009-02-19,折口信夫全集　第廿四巻,中央公論社,1967（昭和42）年10月25日,1967（昭和42）年10月25日
3515,933,折口 信夫,4398,死者の書,新字新仮名,,kompass,米田進,公開,2004-01-01,昭和文学全集　第4巻,小学館,1989（平成元）年4月1日初版第1刷,1989（平成元）年4月1日初版第1刷
3639,933,折口 信夫,45499,山越しの阿弥陀像の画因,旧字旧仮名,,門田裕志,仙酔ゑびす,公開,2007-03-17,折口信夫全集　第廿七巻,中央公論社,1956（昭和31）年11月5日,1956（昭和31）年11月5日
3640,933,折口 信夫,46386,山越しの阿弥陀像の画因,新字新仮名,,門田裕志,仙酔ゑびす,公開,2007-03-17,昭和文学全集　第4巻,小学館,1993（平成5）年9月10日初版第2刷,1993（平成5）年9月10日初版第2刷
3710,984,葛西 善蔵,47059,子をつれて,新字新仮名,,任天堂株式会社,小林繁雄、門田裕志,公開,2008-04-11,哀しき父・椎の若葉,講談社文芸文庫、講談社,1994（平成6）年12月10日第1刷,1994（平成6）年12月10日第1刷
3711,984,葛西 善蔵,51221,子をつれて,旧字旧仮名,,川山隆,門田裕志,公開,2011-06-09,子をつれて,岩波文庫、岩波書店,2009（平成21）年2月19日第9刷,2009（平成21）年2月19日第9刷
3772,74,梶井 基次郎,46349,檸檬,旧字旧仮名,,高柳典子,小林繁雄,公開,2006-09-10,創作　檸檬,十字屋書店,1940（昭和15）年12月20日第2刷,1940（昭和15）年12月20日第2刷
3773,74,梶井 基次郎,424,檸檬,新字新仮名,,j.utiyama,野口英司,公開,1998-08-31,檸檬・ある心の風景　他二十編,旺文社文庫、旺文社,1974（昭和49）年第4刷,1974（昭和49）年第4刷
5517,38,国木田 独歩,1410,画の悲み,旧字旧仮名,,鈴木厚司,小林繁雄,公開,2001-12-21,定本　国木田独歩全集　第二巻,学習研究社,1995（平成7）年7月3日増補版,1995（平成7）年7月3日増補版
5518,38,国木田 独歩,1411,画の悲み,新字新仮名,,鈴木厚司,mayu,公開,2001-05-28,日本児童文学名作集（上）　桑原三郎・千葉俊二編,岩波文庫、岩波書店,,
5528,38,国木田 独歩,334,少年の悲哀,新字新仮名,,紅邪鬼,鈴木厚司,公開,2000-07-07,号外・少年の悲哀　他六篇,岩波文庫、岩波書店,1981（昭和56）年4月10日第34刷,2000（平成12）年7月14日第38刷
5529,38,国木田 独歩,326,少年の悲哀,旧字旧仮名,,網迫,丹羽倫子,公開,1999-02-12,日本文學全集4 　國木田獨歩,新潮社,,
5775,1229,クロポトキン ピョートル・アレクセーヴィチ,50263,革命の研究,旧字旧仮名,大杉 栄,クロポトキン・プロジェクト,浜坂邦彦,公開,2014-08-07,革命の研究,コスモス書店,1946（昭和21）年4月20日,　
5776,1229,クロポトキン ピョートル・アレクセーヴィチ,50507,革命の研究,新字新仮名,大杉 栄,クロポトキン・プロジェクト,岩澤秀紀,公開,2013-03-26,大杉栄・伊藤野枝選集第一巻　クロポトキン研究,黒色戦線社,1986（昭和61）年6月1日,1986（昭和61）年6月1日
5843,258,小泉 八雲,52949,夜光虫,新字新仮名,林田 清明,林田清明,林田清明,公開,2011-04-03,,,,
5844,258,小泉 八雲,52950,夜光虫,旧字旧仮名,林田 清明,林田清明,林田清明,公開,2011-04-03,,,,
7582,8,島木 健作,47383,癩,旧字旧仮名,,Nana ohbe,林幸雄,公開,2010-04-25,島木健作作品集　第四卷,創元社,1953（昭和28）年9月15日初版,1953（昭和28）年9月15日初版　
7583,8,島木 健作,697,癩,新字新仮名,,山形幸彦,野口英司,公開,1998-08-20,日本の文学　40　林房雄・武田麟太郎・島木健作,中央公論社,,
8024,1213,瀬沼 夏葉,50220,六号室,新字新仮名,瀬沼 夏葉,阿部哲也,米田,公開,2011-03-02,明治文學全集　82　明治女流文學集（二）,筑摩書房,1989（平成元）年2月20日初版第5刷,1984（昭和59）年2月20日初版第4刷
8025,1213,瀬沼 夏葉,45667,六号室,旧字旧仮名,瀬沼 夏葉,阿部哲也,岩渕祐子,公開,2006-10-03,明治文學全集　82　明治女流文學集（二）,筑摩書房,1989（平成元）年2月20日初版第5刷,1965（昭和40）年12月10日
8402,35,太宰 治,259,逆行,旧字旧仮名,,赤木孝之,湯地光弘,公開,1999-06-29,太宰治全集2,筑摩書房,1998（平成10）年5月25日初版第1刷,
8403,35,太宰 治,260,逆行,新字新仮名,,村田拓哉,青木直子,公開,1999-12-17,晩年,新潮文庫、新潮社,1972（昭和47）年8月30日43刷,1999（平成11）年6月25日105刷
8424,35,太宰 治,45688,五所川原,新字新仮名,,増山一光,土屋隆,公開,2006-03-15,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8425,35,太宰 治,52522,五所川原,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-23,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8438,35,太宰 治,2263,猿面冠者,新字新仮名,,村田拓哉,青木直子,公開,1999-12-17,晩年,新潮文庫、新潮社,1999（平成11）年6月25日第105刷,
8439,35,太宰 治,2262,猿面冠者,旧字旧仮名,,赤木孝之,湯地光弘,公開,1999-06-15,太宰治全集2,筑摩書房,1998（平成10）年5月25日初版第1刷,
8445,35,太宰 治,52682,私信,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-29,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8446,35,太宰 治,45674,私信,新字新仮名,,増山一光,土屋隆,公開,2006-02-18,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8447,35,太宰 治,52462,自信の無さ,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-29,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8448,35,太宰 治,45675,自信の無さ,新字新仮名,,増山一光,土屋隆,公開,2006-02-18,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8458,35,太宰 治,52374,春昼,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-29,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8459,35,太宰 治,43573,春昼,新字新仮名,,増山一光,小林繁雄,公開,2005-04-11,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1993（平成5）年1月5日第2刷
8483,35,太宰 治,45676,世界的,新字新仮名,,増山一光,土屋隆,公開,2006-02-18,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8484,35,太宰 治,52684,世界的,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-12,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8493,35,太宰 治,1575,ダス・ゲマイネ,旧字旧仮名,,土屋隆,増山一光,公開,2007-01-29,太宰治全集2,筑摩書房,1998（平成10）年5月25日初版第1刷,　
8494,35,太宰 治,42945,ダス・ゲマイネ,新字新仮名,,野口英司,八巻美恵,公開,2004-03-04,走れメロス,新潮文庫、新潮社,1989（平成元）年6月10日50刷,
8573,35,太宰 治,52523,砂子屋,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-12,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8574,35,太宰 治,45689,砂子屋,新字新仮名,,増山一光,土屋隆,公開,2006-03-15,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8579,35,太宰 治,52464,無趣味,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8580,35,太宰 治,45671,無趣味,新字新仮名,,増山一光,土屋隆,公開,2006-02-18,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8581,35,太宰 治,52686,無題,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8582,35,太宰 治,45690,無題,新字新仮名,,増山一光,土屋隆,公開,2006-03-15,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8594,35,太宰 治,52526,容貌,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8595,35,太宰 治,1596,容貌,新字新仮名,,土屋隆,noriko saito,公開,2005-04-23,太宰治全集10,ちくま文庫、筑摩書房,1989（平成元）年6月27日第1刷,1996（平成8）年7月15日第3刷
8596,35,太宰 治,52687,横綱,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8597,35,太宰 治,45691,横綱,新字新仮名,,増山一光,土屋隆,公開,2006-03-15,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8603,35,太宰 治,312,列車,新字新仮名,,村田拓哉,青木直子,公開,1999-12-17,晩年,新潮文庫、新潮社,1972（昭和47）年8月30日43刷,1999（平成11）年6月25日105刷
8604,35,太宰 治,313,列車,旧字旧仮名,,赤木孝之,田尻幹二,公開,1999-05-31,太宰治全集2,筑摩書房,1998（平成10）年5月25日初版第1刷,
8605,35,太宰 治,45668,六月十九日,新字新仮名,,増山一光,土屋隆,公開,2005-12-15,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8606,35,太宰 治,52235,六月十九日,旧字旧仮名,,増山一光,小林繁雄,公開,2011-02-28,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,1999（平成11）年3月25日初版第1刷
8612,35,太宰 治,52292,私の著作集,旧字旧仮名,,増山一光,阿部哲也,公開,2011-12-08,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8613,35,太宰 治,45673,私の著作集,新字新仮名,,増山一光,土屋隆,公開,2006-02-18,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
9376,1155,チェーホフ アントン,50220,六号室,新字新仮名,瀬沼 夏葉,阿部哲也,米田,公開,2011-03-02,明治文學全集　82　明治女流文學集（二）,筑摩書房,1989（平成元）年2月20日初版第5刷,1984（昭和59）年2月20日初版第4刷
9377,1155,チェーホフ アントン,45667,六号室,旧字旧仮名,瀬沼 夏葉,阿部哲也,岩渕祐子,公開,2006-10-03,明治文學全集　82　明治女流文學集（二）,筑摩書房,1989（平成元）年2月20日初版第5刷,1965（昭和40）年12月10日
9546,1029,デカルト ルネ,4730,省察 神の存在、及び人間の霊魂と肉体との区別を論証する、第一哲学についての,旧字旧仮名,三木 清,山下裕嗣,Juki,公開,2016-03-31,省察,岩波文庫、岩波書店,1969（昭和44）年第24刷発行,1977（昭和52）年8月20日第33刷発行
9547,1029,デカルト ルネ,43291,省察 神の存在、及び人間の霊魂と肉体との区別を論証する、第一哲学についての,新字新仮名,三木 清,京都大学電子テクスト研究会入力班,京都大学電子テクスト研究会校正班,公開,2006-03-07,省察,岩波文庫、岩波書店,1958（昭和33）年12月20日第13刷,
9679,42,寺田 寅彦,2442,写生紀行,新字新仮名,,（株）モモ,かとうかおり,公開,2003-07-14,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年5月15日第80刷,1997（平成9）年12月15日第81刷
9680,42,寺田 寅彦,4654,写生紀行,旧字旧仮名,,林幸雄,多羅尾伴内,公開,2003-11-28,現代日本紀行文学全集　東日本編,ほるぷ出版,1976（昭和51）年8月1日,1976（昭和51）年8月1日
10813,119,中島 敦,24438,盈虚,新字新仮名,,小林繁雄,多羅尾伴内,公開,2003-07-20,中島敦全集　2,ちくま文庫、筑摩書房,1999（平成11）年10月15日第5刷,2003（平成15）年3月20日第6刷
10814,119,中島 敦,4336,盈虚,旧字旧仮名,,米田進,土屋隆,公開,2008-12-28,中島敦全集第一卷,筑摩書房,1976（昭和51）年3月15日初版第1刷,1976（昭和51）年3月15日初版第1刷
10817,119,中島 敦,46429,環礁 ――ミクロネシヤ巡島記抄――,新字新仮名,,土屋隆,松永正敏,公開,2007-06-01,山月記・李陵　他九篇,岩波文庫、岩波書店,2003（平成15）年4月15日第15刷,
10818,119,中島 敦,24444,環礁 ――ミクロネシヤ巡島記抄――,旧字旧仮名,,門田裕志,多羅尾伴内,公開,2004-11-07,中島敦全集第一卷,筑摩書房,1976（昭和51）年3月15日初版,1993（平成5）年6月20日初版第18刷
10819,119,中島 敦,618,狐憑,旧字旧仮名,,圭,木本敦子,公開,1999-09-03,中島敦全集　第一巻,筑摩書房,,
10820,119,中島 敦,56247,狐憑,新字新仮名,,小池健太,久木舜,公開,2020-12-04,ちくま日本文学012　中島敦,ちくま文庫、筑摩書房,2009（平成21）年6月20日第3刷,2012（平成24）年9月25日第7刷
10826,119,中島 敦,623,山月記,旧字旧仮名,,岡島昭浩,小林繁雄,公開,1997-07-07,文學界,,,
10827,119,中島 敦,624,山月記,新字新仮名,,平松大樹,林めぐみ,公開,1998-11-13,李陵・山月記,新潮文庫、新潮社,,1994（平成6）年5月15日第50刷
10841,119,中島 敦,620,名人伝,旧字旧仮名,,Hitoshi Nagano,j.utiyama,公開,1998-10-26,中島敦全集　第4巻,文治堂書店,,
10842,119,中島 敦,621,名人伝,新字新仮名,,大内章,j.utiyama,公開,1998-10-26,ちくま日本文学全集　中島敦,ちくま文庫、筑摩書房,1992（平成4）年7月20日第1刷,
11338,148,夏目 漱石,777,京に着ける夕,新字新仮名,,柴田卓治,大野晋,公開,1999-05-12,夏目漱石全集10,ちくま文庫、筑摩書房,,1996（平成8）年7月15日第5刷
11339,148,夏目 漱石,55936,京に着ける夕,旧字旧仮名,,岡村和彦,きりんの手紙,公開,2019-02-09,現代紀行文學全集　第四卷　西日本篇,修道社,1958（昭和33）年4月15日,1959（昭和34）年4月10日
11358,148,夏目 漱石,1749,子規の画,旧字旧仮名,,山田豊,土屋隆,公開,2005-10-11,漱石全集　第十七巻,岩波書店,1979（昭和54）年8月8日第4刷,1957（昭和32）年1月12日第1刷
11359,148,夏目 漱石,795,子規の画,新字新仮名,,柴田卓治,大野晋,公開,1999-05-12,夏目漱石全集10,ちくま文庫、筑摩書房,,1996（平成8）年7月15日第5刷
11405,148,夏目 漱石,763,変な音,新字新仮名,,柴田卓治,大野晋,公開,1999-05-12,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日第1刷,
11406,148,夏目 漱石,764,変な音,旧字旧仮名,,山田豊,Juki,公開,1999-12-18,漱石全集　第十七巻,岩波書店,1960（昭和35）年9月10日第2版,
11419,148,夏目 漱石,56923,門,旧字旧仮名,,阿部哲也,染川隆俊,公開,2019-01-05,漱石全集　第四卷　三四郎　それから　門,岩波書店,1975（昭和50）年3月10日第2刷,1975（昭和50）年3月10日第2刷
11420,148,夏目 漱石,785,門,新字新仮名,,柴田卓治,高橋知仁,公開,1999-04-22,夏目漱石全集6,ちくま文庫、筑摩書房,1988（昭和63）年3月29日第1刷,1993（平成5）年2月25日第2刷
11606,182,西田 幾多郎,3217,世界新秩序の原理,旧字旧仮名,,nns,土屋隆,公開,2004-09-22,西田幾多郎全集　第十二巻,岩波書店,1986（昭和61）年11月25日第4刷, 
11607,182,西田 幾多郎,3668,世界新秩序の原理,新字新仮名,,nns,土屋隆,公開,2004-09-22,西田幾多郎全集　第十二巻,岩波書店,1986（昭和61）年11月25日第4刷, 
11628,718,新渡戸 稲造,46288,教育の目的,旧字旧仮名,,kamille,染川隆俊,公開,2007-02-19,明治文學全集　88　明治宗教文學集（二）,筑摩書房,1983（昭和58）年10月1日初版第2刷,1975（昭和50）年7月30日初版第1刷
11629,718,新渡戸 稲造,50670,教育の目的,新字新仮名,,田中哲郎,ゆうき,公開,2010-04-27,新渡戸稲造論集,岩波文庫、岩波書店,2007（平成19）年5月16日第1刷,2007（平成19）年6月25日第2刷
11797,1670,野村 胡堂,54695,銭形平次捕物控 001 金色の処女,旧字旧仮名,,特定非営利活動法人はるかぜ,門田裕志,公開,2014-01-02,錢形平次捕物全集第二十二卷　美少年國,同光社,1954（昭和29）年3月25日,1954（昭和29）年11月20日再版
11798,1670,野村 胡堂,56372,銭形平次捕物控 001 金色の処女,新字新仮名,,特定非営利活動法人はるかぜ,結城宏,公開,2018-01-07,銭形平次捕物控（十）金色の処女,嶋中文庫、嶋中書店,2005（平成17）年2月20日第1刷,2005（平成17）年2月20日第1刷
11799,1670,野村 胡堂,56278,銭形平次捕物控 002 振袖源太,新字新仮名,,特定非営利活動法人はるかぜ,結城宏,公開,2018-01-12,銭形平次捕物控（七）平次女難,嶋中文庫、嶋中書店,2004（平成16）年11月20日第1刷,2004（平成16）年11月20日第1刷 
11800,1670,野村 胡堂,55682,銭形平次捕物控 002 振袖源太,旧字旧仮名,,特定非営利活動法人はるかぜ,門田裕志,公開,2014-02-22,錢形平次捕物全集第十六卷　笑ひ茸,同光社磯部書房,1953（昭和28）年9月28日,1953（昭和28）年9月28日
